Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60714999,"The Serpent and the Wings of Night (Crowns of Nyaxia, #1)",Carissa Broadbent,"Broadbent, Carissa",,"=""""","=""""",5,4.36,Independently Published,Kindle Edition,532,2022,2022,2023/04/26,2023/04/25,,,read,,,,1,0
128029,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""1594489505""","=""9781594489501""",0,4.43,Riverhead Books,Hardcover,372,2007,2007,,2023/04/25,to-read,to-read (#109),to-read,,,,0,0
61918816,"Yours Truly (Part of Your World, #2)",Abby Jimenez,"Jimenez, Abby",,"=""1538704390""","=""9781538704394""",5,4.34,Forever,Paperback,416,2023,2023,2023/04/12,2022/11/23,,,read,,,,1,0
62361081,The True Love Experiment,Christina Lauren,"Lauren, Christina",,"=""1982173432""","=""9781982173432""",5,4.17,Gallery Books,Hardcover,409,2023,2023,2023/04/10,2023/03/18,,,read,"First things first, I received an ARC of this book. Okay now let's get into the review!<br/><br/>This is the third Christina Lauren book I have read.i read Unhoneymooners last year and I read The Soulmate Equation about a week ago. I actually enjoyed Soulmate Equation better than Unhoneymooners so when I got this arc I was so excited because I couldn't wait to learn more about Fizzy! This book had me laughing from the very beginning to the very end! It was so wonderful and I read it in just over a day. By far my favorite Christina Lauren book so far! I have read other dating show books (Charm Offensive, One to Watch) and I was worried this would be exactly the same. But this book does a great job of not feeling like every other Bachelor/Bachelorette themed book. <br/><br/>I highly recommend to any romance reader! Fizzy and Connor are definitely two of my favorite romantic leads now ",,,1,0
58438593,The Soulmate Equation,Christina Lauren,"Lauren, Christina",,"=""1982171111""","=""9781982171117""",5,4.01,Gallery Books,Paperback,416,2022,2021,2023/04/05,2023/03/18,,,read,,,,1,0
61767292,"Icebreaker (Maple Hills, #1)",Hannah  Grace,"Grace, Hannah",,"=""""","=""""",5,3.98,Pig & Bear Publishing,Kindle Edition,435,2022,2022,2023/03/29,2023/03/29,,,read,,,,1,0
61399138,Something Wild & Wonderful,Anita Kelly,"Kelly, Anita",,"=""1538754886""","=""9781538754887""",0,4.31,Forever,Paperback,384,2023,2023,,2023/03/19,to-read,to-read (#108),to-read,,,,0,0
58988426,Nora Goes Off Script,Annabel Monaghan,"Monaghan, Annabel",,"=""0593420039""","=""9780593420034""",0,4.14,G.P. Putnam's Sons,Hardcover,272,2022,2022,,2023/03/19,to-read,to-read (#107),to-read,,,,0,0
57370115,Highly Suspicious and Unfairly Cute,Talia Hibbert,"Hibbert, Talia",,"=""""","=""9780593482346""",0,3.76,Joy Revolution,ebook,336,2023,2023,,2023/03/19,to-read,to-read (#106),to-read,,,,0,0
57552438,And They Lived . . .,Steven Salvatore,"Salvatore, Steven",,"=""1547608196""","=""9781547608195""",0,3.98,Bloomsbury YA,Hardcover,384,2022,2022,,2023/03/19,to-read,to-read (#105),to-read,,,,0,0
58957683,"No Rings Attached (Ms. Right, #2)",Rachel Lacey,"Lacey, Rachel",,"=""1542037417""","=""9781542037419""",0,3.97,Montlake,Paperback,315,2022,2022,,2023/03/19,to-read,to-read (#104),to-read,,,,0,0
52915426,Something to Talk About,Meryl Wilsner,"Wilsner, Meryl",,"=""0593102525""","=""9780593102527""",0,3.65,Berkley Books,Paperback,336,2020,2020,,2023/03/19,to-read,to-read (#103),to-read,,,,0,0
52339313,"Cemetery Boys (Cemetery Boys, #1)",Aiden Thomas,"Thomas, Aiden",,"=""1250250463""","=""9781250250469""",0,4.29,Swoon Reads,Hardcover,344,2020,2020,,2023/03/19,to-read,to-read (#102),to-read,,,,0,0
59325385,Change Of Heart,Clare Lydon,"Lydon, Clare",,"=""""","=""""",0,3.82,Custard Books,ebook,,2021,2021,,2023/03/19,to-read,to-read (#101),to-read,,,,0,0
53180089,Meet Cute Diary,Emery   Lee,"Lee, Emery",,"=""0063038838""","=""9780063038837""",0,3.28,Quill Tree Books,Hardcover,391,2021,2021,,2023/03/19,to-read,to-read (#100),to-read,,,,0,0
58214336,I'm So Not Over You,Kosoko Jackson,"Jackson, Kosoko",,"=""0593334442""","=""9780593334447""",0,3.37,Berkley,Paperback,368,2022,2022,,2023/03/19,to-read,to-read (#99),to-read,,,,0,0
58756420,I Kissed Shara Wheeler,Casey McQuiston,"McQuiston, Casey",,"=""1250244455""","=""9781250244451""",0,3.92,St. Martin's Press,Hardcover,356,2022,2022,,2023/03/19,to-read,to-read (#98),to-read,,,,0,0
57188051,D'Vaughn and Kris Plan a Wedding,Chencia C. Higgins,"Higgins, Chencia C.",,"=""1335534946""","=""9781335534941""",0,4.03,Carina Adores,Paperback,336,2022,2022,,2023/03/19,to-read,to-read (#97),to-read,,,,0,0
49362138,Honey Girl,Morgan  Rogers,"Rogers, Morgan",,"=""""","=""""",0,3.69,Park Row Books,Kindle Edition,283,2021,2021,,2023/03/19,to-read,to-read (#96),to-read,,,,0,0
58437812,She Gets the Girl,Rachael Lippincott,"Lippincott, Rachael",Alyson Derrick,"=""1534493794""","=""9781534493797""",0,4.13,Simon & Schuster Books for Young Readers,Hardcover,384,2022,2022,,2023/03/19,to-read,to-read (#95),to-read,,,,0,0
57518631,"Read Between the Lines (Ms. Right, #1)",Rachel Lacey,"Lacey, Rachel",,"=""1542033543""","=""9781542033541""",0,3.76,Montlake,Paperback,331,2021,2021,,2023/03/19,to-read,to-read (#94),to-read,,,,0,0
60191114,My Killer Vacation,Tessa Bailey,"Bailey, Tessa",,"=""""","=""9798201353605""",0,3.65,,ebook,295,2022,2022,,2023/03/19,to-read,to-read (#93),to-read,,,,0,0
49203369,"Tools of Engagement (Hot & Hammered, #3)",Tessa Bailey,"Bailey, Tessa",,"=""0062872931""","=""9780062872937""",0,3.76,Avon,Paperback,368,2020,2020,,2023/03/19,to-read,to-read (#92),to-read,,,,0,0
44148563,"Love Her or Lose Her (Hot & Hammered, #2)",Tessa Bailey,"Bailey, Tessa",,"=""0062872869""","=""9780062872869""",0,3.64,Avon,ebook,336,2020,2020,,2023/03/19,to-read,to-read (#91),to-read,,,,0,0
60683957,Check & Mate,Ali Hazelwood,"Hazelwood, Ali",,"=""0593619919""","=""9780593619919""",0,4.07,G.P. Putnam's Sons Books for Young Readers,Paperback,352,2023,2023,,2023/03/14,to-read,to-read (#90),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",5,4.17,Berkley Books,Paperback,383,2021,2021,2021/12/28,2021/12/20,,,read,,,,3,0
53544752,Den of Vipers,K.A. Knight,"Knight, K.A.",,"=""""","=""""",2,3.61,,Kindle Edition,654,2020,2020,2023/02/06,2023/01/09,,,read,"Most books I read don't get a 2 star review. If I finish the book, it atleast held my interest to warrant 2.5 or 3 stars. But after the major(?) conflict resolved around the 75% mark, I wasn't sure why I was still reading anything. I thought ""well maybe this is a book where the last 10% is a preview of their next book."" NOPE! Listen, I enjoyed the spice. But if I have to hear ""We are vipers"" or ""I am a viper"" again, I will pull my hair out. I stopped reading with 55 pages left to read. And you know what? I don't think I missed anything. I'm not sure who K.A. Knight has editing and beta reading their books, but they need better people. This felt like a sloppy draft that hadn't been edited to make it readable.",,,1,0
54513688,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,"Aveyard, Victoria",,"=""""","=""""",0,3.61,Orion Publishing,Kindle Edition,576,2021,2021,,2023/01/09,to-read,to-read (#89),to-read,,,,0,0
44063371,"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",0,4.03,Gollancz,Kindle Edition,480,2019,2019,,2023/01/09,to-read,to-read (#88),to-read,,,,0,0
61193071,For Her Consideration,Amy Spalding,"Spalding, Amy",,"=""1496739515""","=""9781496739513""",0,3.78,Kensington,Paperback,320,2023,2023,,2023/01/09,to-read,to-read (#87),to-read,,,,0,0
50659472,"A Court of Wings and Ruin (A Court of Thorns and Roses, #3)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575605""","=""9781635575606""",5,4.46,Bloomsbury Publishing,Paperback,703,2020,2017,2023/01/08,2023/01/08,,,read,,,,1,0
50659468,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,"Maas, Sarah J.",,"=""1635575583""","=""9781635575583""",5,4.64,Bloomsbury Publishing,Paperback,624,2020,2016,2023/01/08,2023/01/08,,,read,,,,1,0
59808792,"Sorrow and Starlight (Zodiac Academy, #8)",Caroline Peckham,"Peckham, Caroline",Susanne Valenti,"=""""","=""""",0,4.07,Amazon Digital Services,Kindle Edition,1242,2022,2022,,2022/12/12,currently-reading,currently-reading (#3),currently-reading,,,,1,0
60092691,All I Want for Christmas,Maggie Knox,"Knox, Maggie",,"=""0735241120""","=""9780735241121""",0,3.21,Viking,Paperback,352,2022,2022,,2022/11/27,to-read,to-read (#86),to-read,,,,0,0
56315637,The Christmas Clash,Suzanne Park,"Park, Suzanne",,"=""1728248019""","=""9781728248011""",0,3.43,Sourcebooks Fire,Hardcover,368,2022,2022,,2022/11/27,to-read,to-read (#85),to-read,,,,0,0
60219836,Meet Me Under the Mistletoe,Jenny Bayliss,"Bayliss, Jenny",,"=""0593422228""","=""9780593422229""",0,3.50,G.P. Putnam's Sons,Paperback,417,2022,2022,,2022/11/27,to-read,to-read (#84),to-read,,,,0,0
59947625,The Christmas Wish,Lindsey Kelk,"Kelk, Lindsey",,"=""0008544646""","=""9780008544645""",0,3.92,HarperCollins,Paperback,352,2022,2022,,2022/11/27,to-read,to-read (#83),to-read,,,,0,0
60372440,The Rewind,Allison Winn Scotch,"Scotch, Allison Winn",,"=""0593546539""","=""9780593546536""",0,3.23,Berkley,Paperback,368,2022,2022,,2022/11/27,to-read,to-read (#82),to-read,,,,0,0
60097392,Once Upon a December,Amy E. Reichert,"Reichert, Amy E.",,"=""0593197798""","=""9780593197790""",0,3.51,Berkley,Paperback,336,2022,2022,,2022/11/27,to-read,to-read (#81),to-read,,,,0,0
60321485,Kiss Her Once for Me,Alison Cochrun,"Cochrun, Alison",,"=""1982191139""","=""9781982191139""",0,3.88,Atria,Paperback,368,2022,2022,,2022/11/27,to-read,to-read (#80),to-read,,,,0,0
57730503,"In the Event of Love (Fern Falls, #1)",Courtney Kae,"Kae, Courtney",,"=""1496738950""","=""9781496738950""",0,3.62,Kensington,Paperback,320,2022,2022,,2022/11/27,to-read,to-read (#78),to-read,,,,0,0
60021169,A Cat Café Christmas,Codi Gary,"Gary, Codi",,"=""1668612119""","=""9781668612118""",0,3.76,Forever,Audiobook,,2022,2022,,2022/11/27,to-read,to-read (#79),to-read,,,,0,0
60383010,Season of Love,Helena Greer,"Greer, Helena",,"=""1538706539""","=""9781538706534""",0,3.73,Forever,Paperback,384,2022,2022,,2022/11/27,to-read,to-read (#77),to-read,,,,0,0
